param	expType	paramValue	species	type	conc	growthRate	excessProd	numTypes
m	FALSE	1.789329e-4	4	S-species	9.493233999999999e-56	1.239161	2.587635	1
m	FALSE	1.789329e-4	5	S-species	1.661174e-25	2	2.587635	1
m	FALSE	1.789329e-4	6	S-species	1.0910329999999999e-36	1.613319	2.587635	1
m	FALSE	1.789329e-4	7	S-species	5.972242e-43	1.436066	2.587635	1
m	FALSE	1.789329e-4	8	S-species	4.507146e-7	2.535142	2.587635	1
m	FALSE	1.789329e-4	9	S-species	1.05113e-21	2.132169	2.587635	1
m	FALSE	1.789329e-4	10	S-species	1.139071e-24	2.028718	2.587635	1
m	FALSE	1.883504e-4	1	S-species	0.9999996	2.589791	2.587521	1
m	FALSE	1.883504e-4	2	S-species	6.802842e-35	1.685576	2.587521	1
m	FALSE	1.883504e-4	3	S-species	6.787805e-18	2.262087	2.587521	1
m	FALSE	1.883504e-4	4	S-species	7.05299e-57	1.239161	2.587521	1
m	FALSE	1.883504e-4	5	S-species	8.574890999999999e-26	2	2.587521	1
m	FALSE	1.883504e-4	6	S-species	3.702793e-37	1.613319	2.587521	1
m	FALSE	1.883504e-4	7	S-species	1.593977e-43	1.436066	2.587521	1
m	FALSE	1.883504e-4	8	S-species	3.954954e-7	2.535142	2.587521	1
m	FALSE	1.883504e-4	9	S-species	6.217801e-22	2.132169	2.587521	1
m	FALSE	1.883504e-4	10	S-species	6.054744e-25	2.028718	2.587521	1
m	FALSE	1.982636e-4	1	S-species	0.9999997	2.589791	2.587402	1
m	FALSE	1.982636e-4	2	S-species	3.257162e-35	1.685576	2.587402	1
m	FALSE	1.982636e-4	3	S-species	4.77523e-18	2.262087	2.587402	1
m	FALSE	1.982636e-4	4	S-species	1.05401e-57	1.239161	2.587402	1
m	FALSE	1.982636e-4	5	S-species	5.03876e-26	2	2.587402	1
m	FALSE	1.982636e-4	6	S-species	1.65127e-37	1.613319	2.587402	1
m	FALSE	1.982636e-4	7	S-species	6.124361999999999e-44	1.436066	2.587402	1
m	FALSE	1.982636e-4	8	S-species	3.401198e-7	2.535142	2.587402	1
m	FALSE	1.982636e-4	9	S-species	3.9978840000000004e-22	2.132169	2.587402	1
m	FALSE	1.982636e-4	10	S-species	3.627885e-25	2.028718	2.587402	1
m	FALSE	2.086985e-4	1	S-species	0.9999996	2.589791	2.587277	1
m	FALSE	2.086985e-4	2	S-species	4.368831e-36	1.685576	2.587277	1
m	FALSE	2.086985e-4	3	S-species	2.138937e-18	2.262087	2.587277	1
