time	resource	numTypes	assocRate
21245	48.17924	38	94.39989
21246	48.1645	38	94.39539
21247	48.1497	38	94.39089
21248	48.13484	38	94.38639
21249	48.11993	38	94.38189
21250	48.10496	38	94.37739
21251	48.08994	38	94.37289
21252	48.07486	38	94.36839
21253	48.05972	38	94.36389
21254	48.04452	38	94.35939
21255	48.02927	38	94.35489
21256	48.01396	38	94.35039
21257	47.99859	38	94.34589
21258	47.98316	38	94.34139
21259	47.96768	38	94.33689
21260	47.95215	38	94.33239
21261	47.93655	38	94.32789
21262	47.9209	38	94.32339
21263	47.9052	38	94.31889
21264	47.88943	38	94.31439
21265	47.87361	38	94.30989
21266	47.85774	38	94.30539
21267	47.8418	38	94.30089
21268	47.82581	38	94.29639
21269	47.80977	38	94.29189
21270	47.79367	38	94.28739
21271	47.77751	38	94.28289
21272	47.76129	38	94.27839
21273	47.74502	38	94.27389
21274	47.7287	38	94.26939
21275	47.71232	38	94.26489
21276	47.69588	38	94.26039
21277	47.67938	38	94.25589
21278	47.66283	38	94.25139
21279	47.64623	38	94.24689
21280	47.62956	38	94.24239
21281	47.61285	38	94.23789
21282	47.59607	38	94.23339
21283	47.57924	38	94.22889
21284	47.56236	38	94.22439
21285	47.54542	38	94.21989
21286	47.52842	38	94.21539
21287	47.51137	38	94.21089
21288	47.49426	38	94.20639
21289	47.4771	38	94.20189
21290	47.45988	38	94.1974
21291	47.4426	38	94.1929
21292	47.42527	38	94.1884
21293	47.40789	38	94.1839
21294	47.39045	38	94.1794
21295	47.37295	38	94.1749
21296	47.3554	38	94.1704
21297	47.3378	38	94.1659
21298	47.32014	38	94.1614
21299	47.30242	38	94.1569
21300	47.28465	38	94.1524
21301	47.26682	38	94.1479
21302	47.24894	38	94.1434
21303	47.23101	38	94.1389
21304	47.21302	38	94.1344
21305	47.19497	38	94.1299
21306	47.17687	38	94.1254
21307	47.15871	38	94.1209
21308	47.14051	38	94.1164
21309	47.12224	38	94.1119
21310	47.10392	38	94.1074
21311	47.08555	38	94.1029
21312	47.06712	38	94.0984
21313	47.04864	38	94.0939
21314	47.0301	38	94.0894
21315	47.01151	38	94.0849
21316	46.99287	38	94.0804
21317	46.97417	38	94.0759
21318	46.95541	38	94.0714
21319	46.9366	38	94.0669
21320	46.91774	38	94.0624
21321	46.89883	38	94.0579
21322	46.87986	38	94.0534
21323	46.86083	38	94.0489
21324	46.84175	38	94.0444
21325	46.82262	38	94.0399
21326	46.80344	38	94.0354
21327	46.7842	38	94.0309
21328	46.7649	38	94.0264
21329	46.74556	38	94.0219
21330	46.72616	38	94.0174
21331	46.7067	38	94.0129
21332	46.68719	38	94.0084
21333	46.66763	38	94.0039
21334	46.64802	38	93.9994
21335	46.62835	38	93.9949
21336	46.60863	38	93.9904
21337	46.58885	38	93.9859
21338	46.56902	38	93.9814
21339	46.54914	38	93.9769
21340	46.52921	38	93.9724
21341	46.50922	38	93.9679
21342	46.48918	38	93.9634
21343	46.46909	38	93.9589
21344	46.44894	38	93.9544
21345	46.42874	38	93.9499
21346	46.40849	38	93.9454
21347	46.38818	38	93.9409
21348	46.36782	38	93.9364
21349	46.347410000000004	38	93.9319
21350	46.32695	38	93.9274
21351	46.30643	38	93.9229
21352	46.28586	38	93.9184
21353	46.26524	38	93.9139
21354	46.24457	38	93.9094
21355	46.22384	38	93.9049
21356	46.20306	38	93.9004
21357	46.18223	38	93.8959
21358	46.16135	38	93.8914
21359	46.14041	38	93.8869
21360	46.11943	38	93.8824
